express partner,flight num,dep stn,arrv stn,cancel description,a/c type,nose,pbt,sch dep time (local),time cancel (local),hh:mm cnxl (before)/after sch dep time,ex sec
G7-GoJet,4173,PWM,IAD,XA - ATC GROUND DELAY PROGRAM,CRJ-550,0545,50,2025-11-10 14:20:00,2025-11-10 18:53:42.720,04:33,  
G7-GoJet,4174,DCA,EWR,XA - ATC GROUND DELAY PROGRAM,CRJ-550,0539,45,2025-11-07 20:20:00,2025-11-07 14:43:12.961,(05:36),  
G7-GoJet,4174,DCA,EWR,XE - ATC STAFFING,CRJ-550,0519,43,2025-11-08 20:23:00,2025-11-08 17:22:47.594,(03:00),  
G7-GoJet,4174,DCA,EWR,XE - ATC STAFFING,CRJ-550,0579,48,2025-11-09 20:10:00,2025-11-09 09:15:38.423,(10:54),  
G7-GoJet,4174,DCA,EWR,XQ - FAA MANDATE AIRSPACE RESTRICTION,CRJ-550,0520,25,2025-11-10 20:20:00,2025-11-07 15:50:00.000,(4 04:),  
G7-GoJet,4174,DCA,EWR,XQ - FAA MANDATE AIRSPACE RESTRICTION,CRJ-550,0541,16,2025-11-11 20:10:00,2025-11-07 16:02:13.750,(5 04:),  
G7-GoJet,4175,ABE,ORD,XA - ATC GROUND DELAY PROGRAM,CRJ-550,0526,39,2025-11-09 17:22:00,2025-11-09 14:19:10.292,(03:02),  
G7-GoJet,4177,EWR,IAD,XE - ATC STAFFING,CRJ-550,0541,42,2025-11-09 10:15:00,2025-11-09 10:46:01.963,00:31,  
G7-GoJet,4179,AVL,EWR,XQ - FAA MANDATE AIRSPACE RESTRICTION,CRJ-550,0562,46,2025-11-08 15:50:00,2025-11-06 15:36:00.171,(3 00:),  
G7-GoJet,4179,AVL,EWR,XE - ATC STAFFING,CRJ-550,0520,50,2025-11-09 16:20:00,2025-11-09 10:45:44.697,(05:34),  
G7-GoJet,4180,DCA,EWR,XQ - FAA MANDATE AIRSPACE RESTRICTION,CRJ-550,0579,38,2025-11-07 18:19:00,2025-11-06 14:56:00.000,(2 03:),  
G7-GoJet,4180,DCA,EWR,XQ - FAA MANDATE AIRSPACE RESTRICTION,CRJ-550,0541,44,2025-11-09 18:05:00,2025-11-06 17:00:47.040,(4 01:),  
