express partner,flight num,dep stn,arrv stn,date,nose,sch dep time (local),sch arrv time (local),act dep time (local),act arrv time (local)
G7-GoJet,3381,DCA,RIC,2025-11-09,0519,2025-11-09 16:00:00,2025-11-09 17:30:00,2025-11-09 22:07:00,2025-11-09 23:03:00
G7-GoJet,3381,ATW,ORD,2025-11-11,0557,2025-11-11 12:30:00,2025-11-11 13:30:00,2025-11-11 22:03:00,2025-11-11 23:21:00
G7-GoJet,3381,ORD,DAY,2025-11-10,0564,2025-11-10 12:30:00,2025-11-10 14:50:00,2025-11-10 18:24:00,2025-11-10 20:01:00
G7-GoJet,3382,RIC,CVG,2025-11-09,0569,2025-11-09 13:00:00,2025-11-09 14:50:00,2025-11-09 17:26:00,2025-11-09 19:13:00
G7-GoJet,3382,SGF,ATW,2025-11-10,0548,2025-11-10 18:30:00,2025-11-10 20:20:00,2025-11-11 01:00:00,2025-11-11 03:11:00
G7-GoJet,3383,PIT,BTV,2025-11-09,0537,2025-11-09 12:00:00,2025-11-09 13:30:00,2025-11-09 16:37:00,2025-11-09 18:00:00
G7-GoJet,3383,SGF,LEX,2025-11-10,0556,2025-11-10 18:30:00,2025-11-10 21:20:00,2025-11-11 00:16:00,2025-11-11 01:54:00
G7-GoJet,3385,SDF,MDT,2025-11-09,0548,2025-11-09 19:20:00,2025-11-09 20:55:00,2025-11-10 01:44:00,2025-11-10 03:10:00
G7-GoJet,3386,LEX,BHM,2025-11-09,0504,2025-11-09 18:30:00,2025-11-09 19:00:00,2025-11-09 23:03:00,2025-11-10 00:45:00
G7-GoJet,3386,BHM,SCE,2025-11-10,0502,2025-11-10 14:00:00,2025-11-10 16:50:00,2025-11-10 20:46:00,2025-11-10 22:38:00
G7-GoJet,3387,XNA,DAY,2025-11-09,0506,2025-11-09 19:30:00,2025-11-09 22:00:00,2025-11-10 00:53:00,2025-11-10 02:44:00
G7-GoJet,3388,XNA,BUF,2025-11-09,0523,2025-11-09 16:00:00,2025-11-09 19:15:00,2025-11-09 22:09:00,2025-11-10 00:30:00
G7-GoJet,3388,DAY,BHM,2025-11-10,0506,2025-11-10 18:20:00,2025-11-10 18:45:00,2025-11-10 23:20:00,2025-11-11 01:05:00
G7-GoJet,3389,ROA,STL,2025-11-09,0538,2025-11-09 18:00:00,2025-11-09 19:00:00,2025-11-09 22:06:00,2025-11-10 00:43:00
G7-GoJet,3390,DAY,XNA,2025-11-09,0542,2025-11-09 19:00:00,2025-11-09 19:45:00,2025-11-09 23:40:00,2025-11-10 02:02:00
G7-GoJet,3390,LIT,ROA,2025-11-10,0535,2025-11-10 19:30:00,2025-11-10 22:30:00,2025-11-11 01:20:00,2025-11-11 03:25:00
G7-GoJet,3391,BHM,SCE,2025-11-09,0556,2025-11-09 17:00:00,2025-11-09 20:15:00,2025-11-09 23:25:00,2025-11-10 01:18:00
G7-GoJet,3391,CHA,TYS,2025-11-10,0563,2025-11-10 20:20:00,2025-11-10 21:40:00,2025-11-11 02:50:00,2025-11-11 03:53:00
G7-GoJet,3392,CHA,TYS,2025-11-09,0561,2025-11-09 19:00:00,2025-11-09 20:00:00,2025-11-09 23:59:00,2025-11-10 00:50:00
G7-GoJet,3392,TVC,CID,2025-11-10,0542,2025-11-10 16:00:00,2025-11-10 16:15:00,2025-11-10 21:49:00,2025-11-10 23:18:00
G7-GoJet,3393,LIT,ABE,2025-11-09,0563,2025-11-09 18:00:00,2025-11-09 21:30:00,2025-11-09 23:09:00,2025-11-10 01:28:00
G7-GoJet,3393,PIA,ABE,2025-11-10,0550,2025-11-10 17:00:00,2025-11-10 20:00:00,2025-11-11 00:35:00,2025-11-11 02:45:00
G7-GoJet,3394,CID,CHA,2025-11-09,0568,2025-11-09 18:00:00,2025-11-09 21:00:00,2025-11-10 00:31:00,2025-11-10 02:01:00
G7-GoJet,3394,AVP,PIA,2025-11-10,0534,2025-11-10 20:20:00,2025-11-10 21:10:00,2025-11-11 01:28:00,2025-11-11 04:16:00
G7-GoJet,3395,STL,ROW,2025-11-08,0513,2025-11-08 09:00:00,2025-11-08 11:30:00,2025-11-08 18:13:00,2025-11-09 00:14:00
G7-GoJet,3395,CID,LIT,2025-11-09,0502,2025-11-09 18:30:00,2025-11-09 19:30:00,2025-11-10 02:22:00,2025-11-10 04:16:00
G7-GoJet,3396,TYS,ICT,2025-11-09,0535,2025-11-09 18:30:00,2025-11-09 19:30:00,2025-11-09 23:18:00,2025-11-10 01:26:00
G7-GoJet,3396,DAY,RIC,2025-11-11,0537,2025-11-11 08:00:00,2025-11-11 09:45:00,2025-11-11 13:16:00,2025-11-11 15:26:00
G7-GoJet,3397,ATW,CID,2025-11-09,0539,2025-11-09 19:00:00,2025-11-09 20:30:00,2025-11-10 00:27:00,2025-11-10 01:41:00
G7-GoJet,3398,PIA,ROA,2025-11-09,0557,2025-11-09 18:00:00,2025-11-09 21:30:00,2025-11-10 00:16:00,2025-11-10 02:28:00
G7-GoJet,3399,TYS,SGF,2025-11-09,0564,2025-11-09 19:00:00,2025-11-09 20:00:00,2025-11-09 23:59:00,2025-11-10 01:40:00
G7-GoJet,4474,AVP,STL,2025-11-09,0534,2025-11-09 22:00:00,2025-11-09 23:30:00,2025-11-10 03:02:00,2025-11-10 05:35:00
G7-GoJet,4522,CVG,RIC,2025-11-09,0569,2025-11-09 19:00:00,2025-11-09 20:30:00,2025-11-10 01:34:00,2025-11-10 03:36:00
OO-Skywest,4653,HSV,MKE,2025-11-10,1223,2025-11-10 18:45:00,2025-11-10 20:30:00,2025-11-11 00:50:00,2025-11-11 03:08:00
OO-Skywest,5142,FAR,OMA,2025-11-11,0131,2025-11-11 10:00:00,2025-11-11 11:30:00,2025-11-11 17:39:00,2025-11-11 19:05:00
OO-Skywest,5142,OMA,OKC,2025-11-11,0131,2025-11-11 13:25:00,2025-11-11 15:40:00,2025-11-11 19:33:00,2025-11-11 21:33:00
OO-Skywest,5191,IAH,SFO,2025-11-08,0106,2025-11-08 09:00:00,2025-11-08 10:50:00,2025-11-08 15:12:00,2025-11-08 19:32:00
OO-Skywest,5191,DEN,BOI,2025-11-11,0122,2025-11-11 08:00:00,2025-11-11 10:15:00,2025-11-11 15:57:00,2025-11-11 18:30:00
OO-Skywest,5192,COU,MBS,2025-11-10,0767,2025-11-10 19:20:00,2025-11-10 22:05:00,2025-11-11 02:10:00,2025-11-11 03:51:00
OO-Skywest,5192,SLC,ORD,2025-11-08,0572,2025-11-08 07:00:00,2025-11-08 11:05:00,2025-11-08 14:29:00,2025-11-08 17:24:00
OO-Skywest,5193,MKE,ORD,2025-11-08,0785,2025-11-08 10:15:00,2025-11-08 11:05:00,2025-11-08 16:19:00,2025-11-08 17:15:00
OO-Skywest,5193,CHO,LNK,2025-11-09,0532,2025-11-09 15:20:00,2025-11-09 17:00:00,2025-11-09 20:20:00,2025-11-09 23:02:00
OO-Skywest,5193,IAH,TUS,2025-11-10,1207,2025-11-10 09:30:00,2025-11-10 11:00:00,2025-11-10 15:31:00,2025-11-10 18:05:00
OO-Skywest,5193,BOI,DEN,2025-11-11,0795,2025-11-11 11:00:00,2025-11-11 13:15:00,2025-11-11 18:20:00,2025-11-11 20:16:00
OO-Skywest,5194,TUS,SFO,2025-11-10,0494,2025-11-10 12:00:00,2025-11-10 13:15:00,2025-11-10 20:08:00,2025-11-10 23:11:00
OO-Skywest,5194,HLN,DEN,2025-11-08,0167,2025-11-08 14:00:00,2025-11-08 15:55:00,2025-11-08 20:53:00,2025-11-08 23:04:00
